"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Non_institutional_predefined_text","0"
"0","Administration","0","UI ~ TM Administration","1","0","Companies_tenants","0"
"1","Payroll","0","UI ~ Payroll","0","0","severance_pay_forms","0"
"0","Assistance","0","UI ~ Assistance","1","0","Setting_motif","0"
"1","MyPayroll","0","UI ~ MyPayroll","0","0","Work_Environment","0"
"0","Administration","0","UI ~ Administration TM Billing","2","0","Sale_Services","0"
"0","Administration","0","UI ~ Administration TM Billing","1","0","Coverage_types","0"
"0","Appointment","0","UI ~ Appointment - Appointment records","1","0","List_appointments","0"
"1","Assistence","0","UI ~ Assistence - TM Surgery","1","0","","0"
"0","MyPayroll","0","UI ~ My Payroll - Vacation and Pay Slips","1","0","Disability","0"
"0","Administration","0","UI ~ TM Contability","1","0","TM_Contability","0"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Diagnostic_AID_services","0"
"1","Payroll","0","UI ~ Payroll Approved payroll changes","0","0","Medical_Leaves","0"
"0","Administration","0","UI ~ TM Security","1","0","Login","0"
"0","Administration","0","UI ~ Payroll","1","0","Payroll_Roles","0"
"1","Assistence","0","UI ~ Assistence - TM Admission","0","0","Assignment_of_venues","0"
"1","Administration","0","UI ~ Administration TM Billing","0","0","Configuration_supporting","0"
"1","Payroll","0","UI ~ Disciplinary Procedures","0","0","list_disciplinary_procedures","0"
"1","Administration","0","UI ~ TM Contability","0","0","Franchises","0"
"0","Payroll","0","UI ~ health and safety","1","0","Medical_Exams","0"
"0","Administration","0","UI ~ Administration TM Billing","1","0","Specialty_creation","0"
"0","Administration","0","UI ~ TM Contability","1","0","Journal_types","0"
"0","Payroll","0","UI ~ Payroll Approved payroll changes","1","0","Earnings_sheet","0"
"0","Payroll","0","UI ~ Payroll employees","1","0","Work_Supplies","0"
"0","Administration","0","UI ~ Administration TM Purchase","1","0","Unit_of_measure_creation","0"
"1","Administration","0","UI ~ Administration TM Billing","0","0","Services","0"
"1","MyPayroll","0","UI ~ MyPayroll","0","0","Assessment","0"
"1","MyPayroll","0","UI ~ Area_management","0","0","authorize_vacations","0"
"0","Administration","0","UI ~ Administration TM Treasury","1","0","Types_of_bank_note","0"
"0","Payroll","0","UI ~ Payroll","1","0","payment_flyer","0"
"0","Appointment","0","UI ~ Appointment - Appointment records","1","0","Requested_services_vs_scheduled_services","0"
"0","Administration","0","UI ~ Administration TM Treasury","1","0","Prioritize_bills_to_be_paid","0"
"0","Administration","0","UI ~ TM Administration","1","0","Headquarters_creation","0"
"0","Administration","0","UI ~ Administration TM Receivable","1","0","Impairement_Of_Receivables","0"
"0","Payroll","0","UI ~ Payroll","1","0","service_bonus","0"
"0","Assistance","0","UI ~ tm de atencion de citas","1","0","Importance_configuration","0"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Unexpected_situations","0"
"0","Administration","0","UI ~ Payroll","1","0","User_creation_final","0"
"1","MyPayroll","0","UI ~ Area_management","0","0","approval_overtime","0"
"0","MyPayroll","0","UI ~ My Payroll - Vacation and Pay Slips","1","0","report_and_complaint","0"
"0","Administration","0","UI ~ Administration - Sub family","1","0","Warehouse","0"
"0","Administration","0","UI ~ Administration - Sub family","1","0","Legal_entity_supplier","0"
"0","Administration","0","UI ~ TM Security","1","0","Roles","0"
"1","Assistence","0","UI ~ Assistence - TM Admission","0","0","Settings","0"
"0","Administration","0","UI ~ Payroll","1","0","Tm_employee","0"
"1","Administration","0","UI ~ Administration TM Billing","0","0","Plan_contract","0"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Institutional_predefined_text","0"
"0","Administration","0","UI ~ Administration TM Receivable","1","0","Tax_Provision_For_doubtful_Accounts","0"
"0","Administration","0","UI ~ Administration TM Receivable","1","0","Collection_letter","0"
"0","Administration","0","UI ~ Administration TM Contability","1","0","Franchises","0"
"1","Medical_Account","0","UI ~ Contract","0","0","Medical_contract","0"
"0","Administration","0","UI ~ Administration TM Billing","1","0","Authorization_Types","0"
"0","Administration","0","UI ~ Administration TM Treasury","1","0","Type_of_payments","0"
"0","Administration","0","UI ~ Administration TM Contability","1","0","Functional_Units","0"
"0","Administration","0","UI ~ Administration TM Billing","1","0","Sub-specialty_creation","0"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Extended_diagnostics","0"
